"","H00016.SH","H00300.CSI"
"2005-01-04",835.13,NA
"2005-01-05",839.529,NA
"2005-01-06",830.513,NA
"2005-01-07",831.641,NA
"2005-01-10",841.102,NA
"2005-01-11",846.025,NA
"2005-01-12",845.402,NA
"2005-01-13",842.349,NA
"2005-01-14",837.12,NA
"2005-01-17",819.461,NA
"2005-01-18",825.272,NA
"2005-01-19",818.891,NA
"2005-01-20",812.925,NA
"2005-01-21",839.952,NA
"2005-01-24",850.622,NA
"2005-01-25",849.84,NA
"2005-01-26",842.802,NA
"2005-01-27",829.711,NA
"2005-01-28",828.685,NA
"2005-01-31",821.682,NA
"2005-02-01",825.841,NA
"2005-02-02",868.888,NA
"2005-02-03",856.753,NA
"2005-02-04",881.389,NA
"2005-02-16",883.99,NA
"2005-02-17",878.563,NA
"2005-02-18",864.554,NA
"2005-02-21",882.537,NA
"2005-02-22",895.713,NA
"2005-02-23",886.468,NA
"2005-02-24",885.894,NA
"2005-02-25",887.062,NA
"2005-02-28",877.352,NA
"2005-03-01",874.699,NA
"2005-03-02",864.219,NA
"2005-03-03",870.084,NA
"2005-03-04",867.863,NA
"2005-03-07",872.119,NA
"2005-03-08",884.883,NA
"2005-03-09",877.874,NA
"2005-03-10",859.828,NA
"2005-03-11",862.218,NA
"2005-03-14",865.971,NA
"2005-03-15",849.149,NA
"2005-03-16",840.938,NA
"2005-03-17",834.738,NA
"2005-03-18",829.028,NA
"2005-03-21",831.149,NA
"2005-03-22",815.978,NA
"2005-03-23",809.795,NA
"2005-03-24",816.054,NA
"2005-03-25",814.283,NA
"2005-03-28",813.405,NA
"2005-03-29",810.56,NA
"2005-03-30",798.283,NA
"2005-03-31",803.419,NA
"2005-04-01",830.928,NA
"2005-04-04",816.47,NA
"2005-04-05",809.699,NA
"2005-04-06",824.838,NA
"2005-04-07",832.644,NA
"2005-04-08",846.222,NA
"2005-04-11",839.005,NA
"2005-04-12",826.945,NA
"2005-04-13",844.284,NA
"2005-04-14",834.561,NA
"2005-04-15",825.558,NA
"2005-04-18",814.742,NA
"2005-04-19",817.745,NA
"2005-04-20",806.788,NA
"2005-04-21",801.664,NA
"2005-04-22",803.052,NA
"2005-04-25",798.94,NA
"2005-04-26",800.51,NA
"2005-04-27",790.537,NA
"2005-04-28",802.102,NA
"2005-04-29",797.913,NA
"2005-05-09",783.353,NA
"2005-05-10",787.17,NA
"2005-05-11",779.579,NA
"2005-05-12",762.097,NA
"2005-05-13",765.563,NA
"2005-05-16",756.027,NA
"2005-05-17",759.096,NA
"2005-05-18",761.069,NA
"2005-05-19",763.215,NA
"2005-05-20",761.735,NA
"2005-05-23",748.184,NA
"2005-05-24",749.275,NA
"2005-05-25",749.467,NA
"2005-05-26",740.482,NA
"2005-05-27",736.239,NA
"2005-05-30",740.858,NA
"2005-05-31",742.971,NA
"2005-06-01",730.803,NA
"2005-06-02",713.232,NA
"2005-06-03",712.363,NA
"2005-06-06",730.12,NA
"2005-06-07",726.52,NA
"2005-06-08",786.092,NA
"2005-06-09",792.779,NA
"2005-06-10",780.647,NA
"2005-06-13",779.325,NA
"2005-06-14",773.82,NA
"2005-06-15",764.249,NA
"2005-06-16",777.056,NA
"2005-06-17",781.966,NA
"2005-06-20",800.549,NA
"2005-06-21",790.476,NA
"2005-06-22",795.567,NA
"2005-06-23",789.587,NA
"2005-06-24",794.718,NA
"2005-06-27",805.073,NA
"2005-06-28",798.256,NA
"2005-06-29",794.537,NA
"2005-06-30",780.904,NA
"2005-07-01",769.921,NA
"2005-07-04",769.02,NA
"2005-07-05",763.58,NA
"2005-07-06",756.948,NA
"2005-07-07",757.961,NA
"2005-07-08",749.88,NA
"2005-07-11",749.287,NA
"2005-07-12",776.247,NA
"2005-07-13",771.599,NA
"2005-07-14",776.844,NA
"2005-07-15",772.512,NA
"2005-07-18",770.863,NA
"2005-07-19",771.686,NA
"2005-07-20",777.944,NA
"2005-07-21",781.49,NA
"2005-07-22",793.613,NA
"2005-07-25",789.404,NA
"2005-07-26",806.031,NA
"2005-07-27",818.243,NA
"2005-07-28",815.521,NA
"2005-07-29",814.261,NA
"2005-08-01",815.669,NA
"2005-08-02",823.259,NA
"2005-08-03",823.693,NA
"2005-08-04",821.009,NA
"2005-08-05",838.752,NA
"2005-08-08",839.327,NA
"2005-08-09",841.278,NA
"2005-08-10",849.078,NA
"2005-08-11",859.482,NA
"2005-08-12",849.248,NA
"2005-08-15",866.993,NA
"2005-08-16",855.341,NA
"2005-08-17",861.197,NA
"2005-08-18",841.008,NA
"2005-08-19",844.514,NA
"2005-08-22",850.266,NA
"2005-08-23",845.069,NA
"2005-08-24",852.714,NA
"2005-08-25",850.775,NA
"2005-08-26",849.351,NA
"2005-08-29",838.106,NA
"2005-08-30",835.783,NA
"2005-08-31",843.728,NA
"2005-09-01",855.242,NA
"2005-09-02",856.857,NA
"2005-09-05",856.731,NA
"2005-09-06",842.694,NA
"2005-09-07",852.368,NA
"2005-09-08",854.432,NA
"2005-09-09",850.84,NA
"2005-09-12",849.124,NA
"2005-09-13",857.328,NA
"2005-09-14",861.557,NA
"2005-09-15",861.036,NA
"2005-09-16",858.053,NA
"2005-09-19",859.032,NA
"2005-09-20",854.587,NA
"2005-09-21",838.257,NA
"2005-09-22",823.586,NA
"2005-09-23",819.684,NA
"2005-09-26",820.27,NA
"2005-09-27",808.39,NA
"2005-09-28",809.179,NA
"2005-09-29",818.741,NA
"2005-09-30",820.19,NA
"2005-10-10",814.088,NA
"2005-10-11",822.689,NA
"2005-10-12",821.917,NA
"2005-10-13",814.722,NA
"2005-10-14",803.488,NA
"2005-10-17",795.045,NA
"2005-10-18",797.243,NA
"2005-10-19",795.418,NA
"2005-10-20",799.545,NA
"2005-10-21",799.94,NA
"2005-10-24",796.939,NA
"2005-10-25",790.61,NA
"2005-10-26",774.174,NA
"2005-10-27",776.382,NA
"2005-10-28",775.517,NA
"2005-10-31",785.108,NA
"2005-11-01",782.847,NA
"2005-11-02",788.933,NA
"2005-11-03",781.528,NA
"2005-11-04",784.782,NA
"2005-11-07",779.898,NA
"2005-11-08",784.16,NA
"2005-11-09",781.935,NA
"2005-11-10",771.782,NA
"2005-11-11",771.883,NA
"2005-11-14",768.672,NA
"2005-11-15",764.421,NA
"2005-11-16",769.493,NA
"2005-11-17",769.142,NA
"2005-11-18",786.48,NA
"2005-11-21",784.401,NA
"2005-11-22",772.769,NA
"2005-11-23",779.852,NA
"2005-11-24",787.613,NA
"2005-11-25",792.8,NA
"2005-11-28",788.898,NA
"2005-11-29",781.027,NA
"2005-11-30",785.515,NA
"2005-12-01",784.794,NA
"2005-12-02",782.814,NA
"2005-12-05",776.952,NA
"2005-12-06",786.103,NA
"2005-12-07",793.694,NA
"2005-12-08",791.639,NA
"2005-12-09",803.506,NA
"2005-12-12",801.104,NA
"2005-12-13",799.947,NA
"2005-12-14",805.018,NA
"2005-12-15",804.748,NA
"2005-12-16",808.685,NA
"2005-12-19",808.441,NA
"2005-12-20",814.056,NA
"2005-12-21",810.695,NA
"2005-12-22",814.216,NA
"2005-12-23",818.406,NA
"2005-12-26",822.664,NA
"2005-12-27",819.144,NA
"2005-12-28",820.577,NA
"2005-12-29",829.22,NA
"2005-12-30",823.53,NA
"2006-01-04",840.283,NA
"2006-01-05",856.041,NA
"2006-01-06",865.409,NA
"2006-01-09",866.854,NA
"2006-01-10",867.134,NA
"2006-01-11",860.633,NA
"2006-01-12",865.082,NA
"2006-01-13",859.453,NA
"2006-01-16",842.655,NA
"2006-01-17",846.237,NA
"2006-01-18",863.604,NA
"2006-01-19",869.23,NA
"2006-01-20",869.009,NA
"2006-01-23",868.752,NA
"2006-01-24",867.027,NA
"2006-01-25",875.848,NA
"2006-02-06",890.408,NA
"2006-02-07",885.857,NA
"2006-02-08",891.964,NA
"2006-02-09",879.79,NA
"2006-02-10",889.271,NA
"2006-02-13",888.886,NA
"2006-02-14",892.041,NA
"2006-02-15",897.596,NA
"2006-02-16",885.218,NA
"2006-02-17",887.228,NA
"2006-02-20",887.206,NA
"2006-02-21",902.295,NA
"2006-02-22",899.743,NA
"2006-02-23",907.557,NA
"2006-02-24",912.855,NA
"2006-02-27",917.859,NA
"2006-02-28",923.327,NA
"2006-03-01",926.142,NA
"2006-03-02",906.489,NA
"2006-03-03",910.367,NA
"2006-03-06",909.29,NA
"2006-03-07",891.231,NA
"2006-03-08",888.599,NA
"2006-03-09",882.458,NA
"2006-03-10",886.348,NA
"2006-03-13",893.104,NA
"2006-03-14",890.206,NA
"2006-03-15",897.91,NA
"2006-03-16",895.219,NA
"2006-03-17",892.681,NA
"2006-03-20",904.944,NA
"2006-03-21",905.053,NA
"2006-03-22",905.664,NA
"2006-03-23",904.925,NA
"2006-03-24",899.063,NA
"2006-03-27",902.287,NA
"2006-03-28",904.579,NA
"2006-03-29",915.456,NA
"2006-03-30",907.689,NA
"2006-03-31",908.694,NA
"2006-04-03",922.34,1079.322
"2006-04-04",931.944,1089.654
"2006-04-05",937.594,1100.441
"2006-04-06",932.779,1103.709
"2006-04-07",928.295,1103.626
"2006-04-10",940.677,1118.388
"2006-04-11",943.894,1123.788
"2006-04-12",940.332,1117.55
"2006-04-13",922.937,1094.392
"2006-04-14",942.076,1119.329
"2006-04-17",953.019,1125.139
"2006-04-18",959.503,1132.086
"2006-04-19",962.974,1139.051
"2006-04-20",953.887,1135.227
"2006-04-21",972.326,1150.068
"2006-04-24",973.39,1143.603
"2006-04-25",963.481,1143.158
"2006-04-26",980.948,1156.969
"2006-04-27",975.916,1156.612
"2006-04-28",997.748,1173.671
"2006-05-08",1030.634,1219.821
"2006-05-09",1052.757,1253.025
"2006-05-10",1058.68,1267.531
"2006-05-11",1048.229,1256.619
"2006-05-12",1087.614,1297.893
"2006-05-15",1124.464,1354.484
"2006-05-16",1117.945,1333.428
"2006-05-17",1120.442,1338.655
"2006-05-18",1107.72,1334.559
"2006-05-19",1136.992,1369.807
"2006-05-22",1136.33,1377.567
"2006-05-23",1098.392,1321.388
"2006-05-24",1095.583,1312.204
"2006-05-25",1095.666,1314.25
"2006-05-26",1109.672,1337.689
"2006-05-29",1137.248,1373.466
"2006-05-30",1138.999,1385.995
"2006-05-31",1125.18,1373.186
"2006-06-01",1154.038,1411.272
"2006-06-02",1145.72,1399.004
"2006-06-05",1151.352,1412.226
"2006-06-06",1148.905,1408.451
"2006-06-07",1094.138,1329.813
"2006-06-08",1105.285,1335.6
"2006-06-09",1081.211,1305.054
"2006-06-12",1085.234,1309.118
"2006-06-13",1083.071,1309.755
"2006-06-14",1072.06,1295.416
"2006-06-15",1072.12,1297.074
"2006-06-16",1099.899,1330.856
"2006-06-19",1110.593,1348.523
"2006-06-20",1114.697,1352.025
"2006-06-21",1110.45,1347.285
"2006-06-22",1111.218,1345.416
"2006-06-23",1117.113,1355.137
"2006-06-26",1141.093,1380.282
"2006-06-27",1139.076,1381.367
"2006-06-28",1138.524,1381.064
"2006-06-29",1164.274,1414.191
"2006-06-30",1161.796,1413.069
"2006-07-03",1185.834,1439.952
"2006-07-04",1175.302,1430.603
"2006-07-05",1151.746,1412.426
"2006-07-06",1169.672,1438.882
"2006-07-07",1158.325,1430.729
