"","H00140.SH","N00140.SH","N11077.SH"
"2012-01-04",122.681,NA,110.867
"2012-01-05",122.457,NA,110.878
"2012-01-06",122.768,NA,110.888
"2012-01-09",122.802,NA,110.921
"2012-01-10",122.781,NA,110.932
"2012-01-11",122.812,NA,110.942
"2012-01-12",122.888,NA,110.953
"2012-01-13",122.852,NA,110.964
"2012-01-16",122.738,NA,110.996
"2012-01-17",122.788,NA,111.007
"2012-01-18",122.768,NA,111.018
"2012-01-19",122.843,NA,111.029
"2012-01-20",122.935,NA,111.038
"2012-01-30",123.017,NA,111.141
"2012-01-31",123,NA,111.152
"2012-02-01",122.65,NA,111.163
"2012-02-02",122.647,NA,111.174
"2012-02-03",122.686,NA,111.184
"2012-02-06",122.481,NA,111.214
"2012-02-07",122.543,NA,111.225
"2012-02-08",122.452,NA,111.236
"2012-02-09",122.282,NA,111.246
"2012-02-10",122.359,NA,111.257
"2012-02-13",122.626,NA,111.29
"2012-02-14",122.586,NA,111.301
"2012-02-15",122.395,NA,111.311
"2012-02-16",122.37,NA,111.322
"2012-02-17",122.346,NA,111.333
"2012-02-20",122.511,NA,111.362
"2012-02-21",122.517,NA,111.373
"2012-02-22",122.468,NA,111.383
"2012-02-23",122.487,NA,111.394
"2012-02-24",122.504,NA,111.405
"2012-02-27",122.406,NA,111.438
"2012-02-28",122.43,NA,111.449
"2012-02-29",122.497,NA,111.459
"2012-03-01",122.466,NA,111.47
"2012-03-02",122.374,NA,111.481
"2012-03-05",122.399,NA,111.514
"2012-03-06",122.41,NA,111.525
"2012-03-07",122.511,NA,111.535
"2012-03-08",122.528,NA,111.546
"2012-03-09",122.551,NA,111.557
"2012-03-12",122.808,NA,111.59
"2012-03-13",122.794,NA,111.601
"2012-03-14",122.731,NA,111.611
"2012-03-15",122.639,NA,111.622
"2012-03-16",122.695,NA,111.633
"2012-03-19",122.743,NA,111.662
"2012-03-20",122.732,NA,111.673
"2012-03-21",122.721,NA,111.684
"2012-03-22",122.76,NA,111.695
"2012-03-23",122.928,NA,111.706
"2012-03-26",122.945,NA,111.737
"2012-03-27",122.936,NA,111.748
"2012-03-28",123.103,NA,111.759
"2012-03-29",123.134,NA,111.77
"2012-03-30",123.246,NA,111.781
"2012-04-05",123.206,NA,111.846
"2012-04-06",123.26,NA,111.857
"2012-04-09",123.293,NA,111.89
"2012-04-10",123.314,NA,111.9
"2012-04-11",123.359,NA,111.911
"2012-04-12",123.356,NA,111.922
"2012-04-13",123.339,NA,111.933
"2012-04-16",123.368,NA,111.966
"2012-04-17",123.387,NA,111.977
"2012-04-18",123.347,NA,111.988
"2012-04-19",123.35,NA,111.998
"2012-04-20",123.38,NA,112.009
"2012-04-23",123.416,NA,112.042
"2012-04-24",123.451,NA,112.053
"2012-04-25",123.451,NA,112.064
"2012-04-26",123.474,NA,112.075
"2012-04-27",123.502,NA,112.086
"2012-05-02",123.543,NA,112.137
"2012-05-03",123.548,NA,112.148
"2012-05-04",123.539,NA,112.159
"2012-05-07",123.583,NA,112.19
"2012-05-08",123.56,NA,112.201
"2012-05-09",123.604,NA,112.212
"2012-05-10",123.77,NA,112.223
"2012-05-11",124.058,NA,112.234
"2012-05-14",124.331,NA,112.265
"2012-05-15",125.388,NA,112.275
"2012-05-16",125.58,NA,112.286
"2012-05-17",125.18,NA,112.296
"2012-05-18",125.586,NA,112.307
"2012-05-21",125.469,NA,112.34
"2012-05-22",125.476,NA,112.351
"2012-05-23",125.538,NA,112.362
"2012-05-24",126.047,NA,112.373
"2012-05-25",126.504,NA,112.384
"2012-05-28",126.145,NA,112.416
"2012-05-29",125.997,NA,112.427
