WindCodes,SEC_NAME,SEC_ENGLISHNAME,TRADE_CODE,LAUNCHDATE
H00908.CSI,沪深300能源全收益,CSI 300 Energy TRI,h00908,2007/7/2
H00909.CSI,沪深300材料全收益,CSI 300 Materials TRI,h00909,2007/7/2
H00910.CSI,沪深300工业全收益,CSI 300 Industrials TRI,h00910,2007/7/2
H00911.CSI,沪深300可选全收益,CSI 300 Consumer Discretionary Total Return Index,h00911,2007/7/2
H00912.CSI,沪深300消费全收益,CSI 300 Consumer Staples Total Return Index,h00912,2007/7/2
H00913.CSI,沪深300医药全收益,CSI 300 Health Care Total Return Index,h00913,2007/7/2
H00914.CSI,沪深300金融全收益,CSI 300 Financials TRI,h00914,2007/7/2
H00915.CSI,沪深300信息全收益,CSI 300 Information Technology Total Return Index,h00915,2007/7/2
H00916.CSI,沪深300电信全收益,CSI 300 Telecommunication Services TRI,h00916,2007/7/2
H00917.CSI,沪深300公用全收益,CSI 300 Utilities TRI,h00917,2007/7/2
H00140.SH,上证5年国债(全),SSE 5-Year China Treasury Note (Full Price) Index,h00140,2012/9/12
N00140.SH,上证5年国债(利息及再投资),SSE 5-Year China Treasury Note(Interest And Reinvestment Price) Index,n00140,2012/9/12
N11077.SH,上证10年国债(利息及再投资),SSE 10-Year China Treasury Note Index (Interest And Reinvestment),n11077,2013/3/7
921395.CSI,沪港深300(全),CSI SH-HK-SZ 300 Index Total Return,921395,2020/1/14
921396.CSI,沪港深300(全)HKD,CSI SH-HK-SZ 300 Index Total Return(HKD),921396,2020/1/14
921459.SH,中证800(全)USD,CSI 800 index TRI(USD),921459,2007/1/15
921460.SH,中证1000(全)USD,CSI 1000 Index TRI(USD),921460,2014/10/17
921463.CSI,300ESG全收益,CSI 300 ESG TRI,921463,2020/4/30
921465.CSI,300ESG领先全收益,CSI 300 ESG Leaders TRI,921465,2020/4/30
921466.CSI,300ESG价值全收益,CSI 300 ESG Value TRI,921466,2020/4/30
H00852.SH,中证1000全收益,CSI 1000 TRI,h00852,2014/10/17
H00902.CSI,中证流通全收益,CSI Free Float Total Return Index,h00902,2006/2/27
H20903.CSI,中证A股全收益,CSI China A Share Index TRI,h20903,2016/10/18
H00300.CSI,沪深300全收益,CSI 300 Total Return Index,h00300,2007/7/2
H00903.CSI,中证100全收益,CSI 100 TRI,h00903,2006/5/29
H00904.CSI,中证200全收益,CSI 200 TRI,h00904,2007/1/15
H00905.CSI,中证500全收益,CSI 500 TRI,h00905,2007/1/15
H00907.CSI,中证700全收益,CSI Small and Midcap 700 Total Return Index,h00907,2007/1/15
H00906.CSI,中证800全收益,CSI 800 TRI,h00906,2007/1/15
H00980.CSI,中证超大全收益,CSI Mega-Cap Total Return Index,h00980,2011/5/10
H00985.CSI,中证全指全收益,CSI All Share Total Return Index,h00985,2011/8/2
H00020.SH,中企收益,SSE Medium Composite Total Return Index,h00020,2008/5/12
H00090.SH,上证流通全收益,SSE Free Float Total Return Index,h00090,2010/12/2
H00010.SH,上证180全收益,SSE 180 Total Return Index,h00010,2002/7/1
H00016.SH,上证50全收益,SSE 50 Total Return Index,h00016,2004/1/2
H00009.SH,上证380全收益,SSE 380 Total Return Index,h00009,2010/11/29
H00132.SH,上证100全收益,SSE 100 Total Return Index,h00132,2012/4/20
H00133.SH,上证150全收益,SSE 150 Total Return Index,h00133,2012/4/20
H00043.SH,超大盘全收益,SSE Mega-Cap Total Return Index,h00043,2009/4/23
H00044.SH,上证中盘全收益,SSE Midcap Total Return Index,h00044,2009/7/3
H00045.SH,上证小盘全收益,SSE Smallcap Total Return Index,h00045,2009/7/3
H00046.SH,上证中小全收益,SSE Mid&Small Total Return Cap Index,h00046,2009/7/3
H00047.SH,上证全指全收益,SSE Large&Mid&Small Total Return Cap Index,h00047,2009/7/3
H00155.SH,上证市值百强全收益,SSE Market Value Top 100 Total Return Index,h00155,2012/7/20
H00032.SH,上证能源全收益,SSE Energy Sector Total Return Index,h00032,2009/1/9
H00033.SH,上证材料全收益,SSE Materials Sector Total Return Index,h00033,2009/1/9
H00034.SH,上证工业全收益,SSE Industrials Sector Total Return Index,h00034,2009/1/9
H00035.SH,上证可选全收益,SSE Consumer Discretionary Sector Total Return Index,h00035,2009/1/9
H00036.SH,上证消费全收益,SSE Consumer Staples Sector Total Return Index,h00036,2009/1/9
H00037.SH,上证医药全收益,SSE Health Care Sector Total Return Index,h00037,2009/1/9
H00038.SH,上证金融全收益,SSE Financials Sector Total Return Index,h00038,2009/1/9
H00039.SH,上证信息全收益,SSE Information Technology Sector Total Return Index,h00039,2009/1/9
H00040.SH,上证电信全收益,SSE Telecommunication Services Sector Total Return Index,h00040,2009/1/9
H00041.SH,上证公用全收益,SSE Utilities Sector Total Return Index,h00041,2009/1/9
H40001.SH,180能源全收益,SSE 180 Energy Total Return Index,h40001,2012/6/29
H40002.SH,180材料全收益,SSE 180 Materials Total Return Index,h40002,2012/6/29
H40003.SH,180工业全收益,SSE 180 Industrials Total Return Index,h40003,2012/6/29
H40004.SH,180可选全收益,SSE 180 Consumer Discretionary Total Return Index,h40004,2012/6/29
H40005.SH,180消费全收益,SSE 180 Consumer Staples Total Return Index,h40005,2012/6/29
H40006.SH,180医药全收益,SSE 180 Health Care Total Return Index,h40006,2012/6/29
H40007.SH,180金地全收益,SSE 180 Financials Total Return Index,h40007,2012/6/29
H40008.SH,180信息全收益,SSE 180 Information Technology Total Return Index,h40008,2012/6/29
H40009.SH,180电信全收益,SSE 180 Telecommunication Services Total Return Index,h40009,2012/6/29
H40010.SH,180公用全收益,SSE 180 Utilities Total Return Index,h40010,2012/6/29
H00104.SH,380能源全收益,SSE 380 Energy Total Return Index,h00104,2011/6/13
H00105.SH,380材料全收益,SSE 380 Materials Total Return Index,h00105,2011/6/13
H00106.SH,380工业全收益,SSE 380 Industrials Total Return Index,h00106,2011/6/13
H00107.SH,380可选全收益,SSE 380 Consumer Discretionary Total Return Index,h00107,2011/6/13
H00108.SH,380消费全收益,SSE 380 Consumer Staples Total Return Index,h00108,2011/6/13
H00109.SH,380医药全收益,SSE 380 Health Care Total Return Index,h00109,2011/6/13
