"","H00908.CSI","H00909.CSI","H00910.CSI","H00911.CSI","H00912.CSI","H00913.CSI","H00914.CSI","H00915.CSI","H00916.CSI","H00917.CSI"
"2007-07-02",4186.702,4022.034,3664.914,4073.739,5181.743,3802.378,5403.446,2155.502,2494.831,2749.038
"2007-07-03",4259.16,4167.571,3730.259,4176.234,5220.024,3889.588,5505.294,2178.557,2484.475,2748.386
"2007-07-04",4219.765,4024.29,3648.199,4072.64,5183.234,3806.589,5383.893,2106.368,2439.652,2708.831
"2007-07-05",4026.211,3742.463,3392.286,3817.308,4858.084,3634.069,5210.413,1975.617,2326.907,2542.631
"2007-07-06",4203.483,3933.027,3573.194,4054.05,5071.221,3885.242,5436.397,2076.587,2402.01,2650.222
"2007-07-09",4378.69,4036.835,3659.583,4209.689,5194.714,4021.906,5633.705,2118.959,2421.473,2697.147
"2007-07-10",4290.01,3927.93,3562.182,4092.664,5107.894,3925.402,5758.901,2052.163,2373.005,2607.766
"2007-07-11",4336.559,3943.813,3570.938,4118.122,5071.162,3893.494,5793.713,2057.209,2408.973,2602.056
"2007-07-12",4366.696,3947.484,3620.807,4133.752,5037.334,3914.502,5864.046,2061.007,2397.777,2626.974
"2007-07-13",4352.815,3954.194,3637.813,4118.632,5036.949,3954.095,5835.12,2055.297,2433.422,2688.751
"2007-07-16",4237.61,3809.14,3531.925,3971.837,4867.057,3771.902,5663.838,2000.746,2408.98,2588.231
"2007-07-17",4309.77,3858.32,3576.736,4026.581,4965.201,3789.046,5941.358,2050.04,2463.645,2611.547
"2007-07-18",4286.11,3820.626,3592.054,4044.059,4999.072,3752.747,6016.594,2054.277,2506.217,2653.343
"2007-07-19",4239.725,3807.897,3601.417,4059.852,5080.81,3762.544,6005.13,2082.751,2458.874,2651.389
"2007-07-20",4353.1,3926.542,3721.246,4233.703,5226.55,3910.359,6392.649,2146.493,2517.132,2745.514
"2007-07-23",4598.284,4206.255,3911.979,4455.682,5449.244,4155.169,6548.311,2251.497,2609.169,2918.053
"2007-07-24",4573.827,4222.105,3899.674,4454.203,5371.236,4131.514,6604.129,2237.779,2562.966,2917.134
"2007-07-25",4763.876,4334.88,3994.58,4525.348,5405.265,4246.168,6726.046,2269.732,2559.776,3054.24
"2007-07-26",4790.142,4394.659,4066.727,4631.013,5489.929,4381.102,6747.777,2309.707,2555.262,3062.25
"2007-07-27",4912.694,4454.31,4090.205,4650.373,5450.667,4390.103,6664.058,2317.225,2545.901,3068.409
"2007-07-30",5161.148,4617.481,4184.395,4735.358,5593.402,4452.842,6766.868,2358.03,2666.568,3126.734
"2007-07-31",5157.983,4709.913,4228.032,4779.161,5739.586,4485.709,6773.482,2418.117,2667.48,3242.514
"2007-08-01",4963.493,4497.515,3999.842,4585.343,5511.811,4220.344,6656.084,2254.022,2581.733,3066.6
